split,date,experiment,seed,loss,n_epochs,batch_size,ood_ratio,imsize,detector,l1_AUROC,l1_AUPR-IN,l1_AUPR-OUT,l1_ACC95TPR,l1_FPR95TPR,l2_AUROC,l2_AUPR-IN,l2_AUPR-OUT,l2_ACC95TPR,l2_FPR95TPR,l3_AUROC,l3_AUPR-IN,l3_AUPR-OUT,l3_ACC95TPR,l3_FPR95TPR
split1,2022_08_01,1,4729308572811942276,ring,100,64,0.2,big,ODIN,0.6819435954093933,0.3356490731239319,0.8819540739059448,0.41409435868263245,0.7486712336540222,0.7483885884284973,0.367629736661911,0.9205401539802551,0.5681421160697937,0.5478360056877136,0.7376055717468262,0.2796943783760071,0.9416141510009766,0.4891512393951416,0.5983295440673828
split1,2022_08_01,1,4729308572811942276,ring,100,64,0.2,big,Softmax,0.9055030345916748,0.6511854529380798,0.9710851907730103,0.7239370942115784,0.3447228670120239,0.8417558670043945,0.5129261612892151,0.9513410925865173,0.6584158539772034,0.4301442801952362,0.7979104518890381,0.3413800299167633,0.9573818445205688,0.5781748294830322,0.4924069941043854
split1,2022_08_01,1,4729308572811942276,ring,100,64,0.2,big,NegativeEnergy,0.9233171939849854,0.6664114594459534,0.9781463146209717,0.8372160792350769,0.19703872501850128,0.7617207765579224,0.42232102155685425,0.9079252481460571,0.4336051344871521,0.7232346534729004,0.6598899364471436,0.23533256351947784,0.9096764922142029,0.30599871277809143,0.8162490725517273
split1,2022_08_01,2,4729308572811942276,ring,100,64,0.2,big,ODIN,0.6314457654953003,0.2960485816001892,0.8650433421134949,0.4108910858631134,0.7528473734855652,0.7300609350204468,0.3572271466255188,0.9123451709747314,0.5480489134788513,0.5740318894386292,0.7588416934013367,0.303635835647583,0.9495055675506592,0.5657306909561157,0.5072133541107178
split1,2022_08_01,2,4729308572811942276,ring,100,64,0.2,big,Softmax,0.8923951387405396,0.6301665902137756,0.9656469225883484,0.7117064595222473,0.3606681823730469,0.8517724871635437,0.533172607421875,0.9548373818397522,0.6927781105041504,0.3853454887866974,0.7839187383651733,0.33640527725219727,0.9526767134666443,0.5073388814926147,0.5766894221305847
split1,2022_08_01,2,4729308572811942276,ring,100,64,0.2,big,NegativeEnergy,0.9256340265274048,0.6760143041610718,0.9782969951629639,0.8424577713012695,0.19020500779151917,0.8101745843887329,0.47705310583114624,0.9339160919189453,0.5375655293464661,0.587699294090271,0.6526302099227905,0.24375063180923462,0.8969700932502747,0.24537332355976105,0.8883826732635498
split1,2022_08_01,3,4729308572811942276,ring,100,64,0.2,big,ODIN,0.6486498713493347,0.2991328537464142,0.8705965876579285,0.40914386510849,0.7551252841949463,0.7446824908256531,0.35995760560035706,0.920792818069458,0.5832847952842712,0.5280941724777222,0.7481890916824341,0.27115705609321594,0.9477359652519226,0.5561582446098328,0.5186029076576233
split1,2022_08_01,3,4729308572811942276,ring,100,64,0.2,big,Softmax,0.8987187147140503,0.6465787887573242,0.9685671925544739,0.7294700145721436,0.33750948309898376,0.8593508005142212,0.559240460395813,0.9564566612243652,0.6761794090270996,0.4069855809211731,0.780868649482727,0.322733074426651,0.95325767993927,0.551052987575531,0.5246772766113281
split1,2022_08_01,3,4729308572811942276,ring,100,64,0.2,big,NegativeEnergy,0.9201608300209045,0.6663612723350525,0.9770678281784058,0.8281887173652649,0.20880790054798126,0.8297063112258911,0.5157585740089417,0.9409140348434448,0.5663948655128479,0.5501139163970947,0.6488260626792908,0.23732171952724457,0.8991835713386536,0.2878111004829407,0.8378891348838806
split1,2022_08_02,1,5719864274909958497,oe,100,64,0.2,big,ODIN,0.6361441612243652,0.3153611719608307,0.8601405024528503,0.3963308036327362,0.7718299031257629,0.7422738671302795,0.38009607791900635,0.9171555042266846,0.5710541605949402,0.5440394878387451,0.766454815864563,0.294980525970459,0.9517250061035156,0.5746649503707886,0.49658313393592834
split1,2022_08_02,1,5719864274909958497,oe,100,64,0.2,big,Softmax,0.8947181105613708,0.6372867822647095,0.9670747518539429,0.7338380813598633,0.3318147361278534,0.8696635961532593,0.5740590691566467,0.9606346487998962,0.7085031867027283,0.36484435200691223,0.7949210405349731,0.3459598124027252,0.9566661715507507,0.5644543766975403,0.5087319612503052
split1,2022_08_02,1,5719864274909958497,oe,100,64,0.2,big,NegativeEnergy,0.9135212302207947,0.6581859588623047,0.9734769463539124,0.7783925533294678,0.2737281620502472,0.8435308337211609,0.52861487865448,0.9459114074707031,0.5899825096130371,0.519362211227417,0.650032639503479,0.256178617477417,0.8977186679840088,0.25686025619506836,0.874715268611908
split1,2022_08_02,2,5719864274909958497,oe,100,64,0.2,big,ODIN,0.6418312788009644,0.29059088230133057,0.8697389364242554,0.3963308036327362,0.7718299031257629,0.7553015947341919,0.37312260270118713,0.925521731376648,0.6345369815826416,0.4612756371498108,0.7806123495101929,0.30401912331581116,0.9550767540931702,0.6027441024780273,0.46317386627197266
split1,2022_08_02,2,5719864274909958497,oe,100,64,0.2,big,Softmax,0.9016391634941101,0.6430209875106812,0.9695886969566345,0.7253931164741516,0.3428246080875397,0.866223931312561,0.570629894733429,0.9595831036567688,0.7061735391616821,0.36788153648376465,0.7910038232803345,0.33659350872039795,0.9560046195983887,0.5701978206634521,0.5018982291221619
split1,2022_08_02,2,5719864274909958497,oe,100,64,0.2,big,NegativeEnergy,0.9291563034057617,0.6716063618659973,0.9802976250648499,0.8570180535316467,0.1712224781513214,0.8564592599868774,0.5584772229194641,0.9522086381912231,0.6272568702697754,0.47076690196990967,0.6600611209869385,0.2504342198371887,0.9064400792121887,0.29642629623413086,0.827638566493988
split1,2022_08_02,3,5719864274909958497,oe,100,64,0.2,big,ODIN,0.6551398038864136,0.3070787191390991,0.8675428628921509,0.39691323041915894,0.7710705995559692,0.7870311737060547,0.4130081236362457,0.9343260526657104,0.6438555717468262,0.44912680983543396,0.7679046392440796,0.291237473487854,0.9523063898086548,0.6177409291267395,0.44533029198646545
split1,2022_08_02,3,5719864274909958497,oe,100,64,0.2,big,Softmax,0.9083172082901001,0.6594309210777283,0.9717825055122375,0.7536400556564331,0.30599847435951233,0.869335949420929,0.5586029291152954,0.9610347747802734,0.7207338213920593,0.3488990068435669,0.7939096093177795,0.3306835889816284,0.9569737911224365,0.5673261284828186,0.5053151249885559
split1,2022_08_02,3,5719864274909958497,oe,100,64,0.2,big,NegativeEnergy,0.9280476570129395,0.6781519651412964,0.9793045520782471,0.8538147807121277,0.17539863288402557,0.8224302530288696,0.5113335251808167,0.9339208602905273,0.5192195773124695,0.6116173267364502,0.6667478680610657,0.24981442093849182,0.9088432788848877,0.28717294335365295,0.8386484384536743
split1,2022_08_02,1,2975202540707145105,energy,100,64,0.2,big,ODIN,0.5769181847572327,0.2689691185951233,0.8362995386123657,0.3698311150074005,0.8063781261444092,0.7941439151763916,0.4624180495738983,0.9339882135391235,0.5797903537750244,0.5326499342918396,0.7021564245223999,0.25274595618247986,0.9360405206680298,0.5296745300292969,0.5501139163970947
split1,2022_08_02,1,2975202540707145105,energy,100,64,0.2,big,Softmax,0.8405941724777222,0.5488486289978027,0.9465090036392212,0.587652862071991,0.522399365901947,0.8829850554466248,0.5776748657226562,0.9660537242889404,0.7492719888687134,0.3116932511329651,0.8243128061294556,0.38757047057151794,0.9636409878730774,0.5867900252342224,0.4821564257144928
split1,2022_08_02,1,2975202540707145105,energy,100,64,0.2,big,NegativeEnergy,0.7514963150024414,0.4692285656929016,0.8903365135192871,0.3389632999897003,0.8466210961341858,0.8499037027359009,0.5756524801254272,0.9455651640892029,0.5713453888893127,0.5436598062515259,0.7188883423805237,0.2927418351173401,0.9302807450294495,0.38864070177078247,0.7179195284843445
split1,2022_08_02,2,2975202540707145105,energy,100,64,0.2,big,ODIN,0.5876758098602295,0.29162150621414185,0.8212118148803711,0.3328479826450348,0.8545937538146973,0.7749302387237549,0.4767066240310669,0.9179597496986389,0.45864880084991455,0.690584659576416,0.7405543327331543,0.2724202275276184,0.9464821219444275,0.5858327746391296,0.48329538106918335
split1,2022_08_02,2,2975202540707145105,energy,100,64,0.2,big,Softmax,0.8529057502746582,0.5658288598060608,0.950854480266571,0.6191030740737915,0.4813971221446991,0.8712727427482605,0.5531213283538818,0.9617626070976257,0.7195690274238586,0.3504176139831543,0.8034965991973877,0.34600362181663513,0.9590185880661011,0.5679642558097839,0.5045558214187622
split1,2022_08_02,2,2975202540707145105,energy,100,64,0.2,big,NegativeEnergy,0.7560369372367859,0.4861409664154053,0.8851820230484009,0.33954572677612305,0.8458617925643921,0.7762699127197266,0.441010445356369,0.9169284105300903,0.4863133430480957,0.6545178294181824,0.7577508687973022,0.30786561965942383,0.9427995681762695,0.42693042755126953,0.672361433506012
split1,2022_08_02,3,2975202540707145105,energy,100,64,0.2,big,ODIN,0.5206069350242615,0.24096575379371643,0.7998740673065186,0.2973209023475647,0.9009111523628235,0.7241145372390747,0.3948338031768799,0.9073725342750549,0.5291205644607544,0.5987091660499573,0.7318026423454285,0.2763840854167938,0.9439228773117065,0.5654116272926331,0.507593035697937
split1,2022_08_02,3,2975202540707145105,energy,100,64,0.2,big,Softmax,0.7969503998756409,0.4756262004375458,0.930526852607727,0.5471752882003784,0.5751708149909973,0.8752813935279846,0.5703914761543274,0.9628003835678101,0.7076295614242554,0.3659833073616028,0.8108572363853455,0.35599371790885925,0.9610599279403687,0.5893427133560181,0.479119211435318
split1,2022_08_02,3,2975202540707145105,energy,100,64,0.2,big,NegativeEnergy,0.6521710753440857,0.35710182785987854,0.8337034583091736,0.2716948091983795,0.9343204498291016,0.8430349826812744,0.5641394257545471,0.9457333087921143,0.6025043725967407,0.5030372142791748,0.7537054419517517,0.3213929533958435,0.9417449831962585,0.4527760148048401,0.6416097283363342
split1,2022_08_02,1,3660893569368425514,cross_entropy,100,64,0.2,big,ODIN,0.6311337351799011,0.2995247542858124,0.8499366044998169,0.34304019808769226,0.8413059711456299,0.7591545581817627,0.38517916202545166,0.9254902601242065,0.6094933152198792,0.4939256012439728,0.7209210395812988,0.266647607088089,0.9386510848999023,0.5003190636634827,0.5850417613983154
split1,2022_08_02,1,3660893569368425514,cross_entropy,100,64,0.2,big,Softmax,0.8903677463531494,0.6455934047698975,0.9660165905952454,0.7227723002433777,0.34624144434928894,0.8573547601699829,0.5557419657707214,0.9560786485671997,0.6697728633880615,0.4153378903865814,0.7843219637870789,0.34524935483932495,0.951595664024353,0.5044671297073364,0.5801063179969788
split1,2022_08_02,1,3660893569368425514,cross_entropy,100,64,0.2,big,NegativeEnergy,0.9090490341186523,0.6597211360931396,0.9709785580635071,0.7859638929367065,0.26385724544525146,0.8609846234321594,0.558936595916748,0.9534347057342529,0.650553286075592,0.4403948485851288,0.7225291728973389,0.2929091155529022,0.9259894490242004,0.342693030834198,0.7725892066955566
split1,2022_08_02,2,3660893569368425514,cross_entropy,100,64,0.2,big,ODIN,0.6469426155090332,0.2911698818206787,0.8691826462745667,0.41671520471572876,0.7452543377876282,0.7499485015869141,0.3754352033138275,0.9197666645050049,0.5742574334144592,0.5398633480072021,0.7331172823905945,0.2578696012496948,0.9421440362930298,0.5220165848731995,0.5592254996299744
split1,2022_08_02,2,3660893569368425514,cross_entropy,100,64,0.2,big,Softmax,0.8962054252624512,0.6293594241142273,0.9667389988899231,0.7451950907707214,0.3170083463191986,0.8693930506706238,0.5638600587844849,0.9605135917663574,0.7047175168991089,0.3697797954082489,0.7922524213790894,0.3391820788383484,0.9552931785583496,0.5548819303512573,0.5201215147972107
split1,2022_08_02,2,3660893569368425514,cross_entropy,100,64,0.2,big,NegativeEnergy,0.9096112847328186,0.6473203897476196,0.9708529710769653,0.7804309725761414,0.2710706293582916,0.8481847643852234,0.5306671261787415,0.9491521716117859,0.6228887438774109,0.47646164894104004,0.5804616212844849,0.21977971494197845,0.8629661798477173,0.20197829604148865,0.9400151968002319
split1,2022_08_02,3,3660893569368425514,cross_entropy,100,64,0.2,big,ODIN,0.6167594790458679,0.3043440878391266,0.8484525084495544,0.35760048031806946,0.8223234415054321,0.7449456453323364,0.3803238868713379,0.9187899827957153,0.5646476149559021,0.5523918271064758,0.7056321501731873,0.24577559530735016,0.9351873993873596,0.4814932942390442,0.6074411273002625
split1,2022_08_02,3,3660893569368425514,cross_entropy,100,64,0.2,big,Softmax,0.9026188850402832,0.6600900888442993,0.9699331521987915,0.7568433284759521,0.30182233452796936,0.8655087351799011,0.5670983791351318,0.9588732123374939,0.6924868822097778,0.38572514057159424,0.7697114944458008,0.31691300868988037,0.9492855072021484,0.4869176745414734,0.6009870767593384
split1,2022_08_02,3,3660893569368425514,cross_entropy,100,64,0.2,big,NegativeEnergy,0.91224604845047,0.6760398149490356,0.9702461957931519,0.7743156552314758,0.2790432870388031,0.8406561017036438,0.5449748039245605,0.9414113759994507,0.5926033854484558,0.515945315361023,0.5936902165412903,0.21991844475269318,0.8716630935668945,0.2000638097524643,0.942293107509613
split1,2022_08_04,1,3591953201553041100,ring,100,64,0.2,big,ODIN,0.7990620136260986,0.544045090675354,0.9224162101745605,0.48514851927757263,0.6560364365577698,0.6241016983985901,0.3226863145828247,0.8494086265563965,0.32323819398880005,0.8731966614723206,0.7111818194389343,0.2721138894557953,0.9329735040664673,0.4451180696487427,0.6511009931564331
split1,2022_08_04,1,3591953201553041100,ring,100,64,0.2,big,Softmax,0.9180253744125366,0.6844865083694458,0.97586989402771,0.8066394925117493,0.23690204322338104,0.8437699675559998,0.5434120893478394,0.9485763907432556,0.6298776865005493,0.467350035905838,0.7682812809944153,0.3111143410205841,0.9482340216636658,0.4885130822658539,0.5990888476371765
