delta,split,date,experiment,seed,loss,n_epochs,batch_size,im_size,detector,ID_accuracy,l1_AUROC,l2_AUROC,all_AUROC,l1_FPR95TPR,l2_FPR95TPR,all_FPR95TPR,dogs_AUROC,places_AUROC,cars_AUROC,cfg_AUROC,dogs_FPR95TPR,places_FPR95TPR,cars_FPR95TPR,cfg_FPR95TPR
0.1,military,2022-10-18,1,1000000,quad,100,20,big,Softmax,0.9556701030927836,0.9698028564453125,0.8449950218200684,0.9523584246635437,0.11443299055099487,0.7371134161949158,0.20000000298023224,0.9795260429382324,0.9268000721931458,0.9913668632507324,0.9658976793289185,0.11112437397241592,0.31117212772369385,0.036285508424043655,0.19384101033210754
0.1,military,2022-10-18,2,1000001,quad,100,20,big,Softmax,0.9515463917525773,0.931873083114624,0.7946992516517639,0.9127002358436584,0.31340205669403076,0.7855669856071472,0.49896907806396484,0.9908635020256042,0.9659883975982666,0.9949966669082642,0.9839494824409485,0.03938887640833855,0.16758176684379578,0.017307233065366745,0.08546192198991776
0.1,military,2022-10-18,3,1000002,quad,100,20,big,Softmax,0.9536082474226805,0.948642373085022,0.7922543883323669,0.9267838597297668,0.22268041968345642,0.8164948225021362,0.4618556797504425,0.9842240810394287,0.9418573379516602,0.9903724193572998,0.9721512794494629,0.08092623203992844,0.2504177689552307,0.04022439569234848,0.1482454091310501
1,military,2022-10-18,1,1000000,quad,100,20,big,Softmax,0.9567010309278351,0.9764555096626282,0.8808719515800476,0.9630957841873169,0.0938144326210022,0.5041236877441406,0.1628866046667099,0.9841293096542358,0.9417489171028137,0.9860982298851013,0.9706588387489319,0.07066125422716141,0.2174743413925171,0.05239913985133171,0.13332538306713104
1,military,2022-10-18,2,1000001,quad,100,20,big,Softmax,0.9525773195876288,0.9666715860366821,0.850448489189148,0.9504269957542419,0.1494845300912857,0.6144329905509949,0.21134020388126373,0.9889051914215088,0.964691162109375,0.991454005241394,0.9816833734512329,0.047505371272563934,0.13989019393920898,0.029601337388157845,0.07770350575447083
1,military,2022-10-18,3,1000002,quad,100,20,big,Softmax,0.9515463917525773,0.97450852394104,0.8446995615959167,0.9563650488853455,0.09690721333026886,0.7030927538871765,0.19793814420700073,0.9865922331809998,0.9440397024154663,0.9832655787467957,0.9712991714477539,0.05669610947370529,0.23382668197155,0.05204106122255325,0.12914776802062988
5,military,2022-10-19,1,1000000,quad,100,20,big,Softmax,0.9536082474226805,0.9692062139511108,0.8324095606803894,0.9500859975814819,0.12577319145202637,0.722680389881134,0.22371134161949158,0.9877541661262512,0.9592771530151367,0.992788553237915,0.9799399375915527,0.050847455859184265,0.1663881540298462,0.02458820678293705,0.0964430645108223
5,military,2022-10-19,2,1000001,quad,100,20,big,Softmax,0.9515463917525773,0.9482201337814331,0.7763612866401672,0.9241992831230164,0.2453608214855194,0.8010309338569641,0.4711340069770813,0.9924654960632324,0.9710004329681396,0.9936524629592896,0.9857062101364136,0.031033659353852272,0.13081881403923035,0.02243972383439541,0.07173550128936768
5,military,2022-10-19,3,1000002,quad,100,20,big,Softmax,0.9567010309278351,0.9566359519958496,0.7674347162246704,0.930191159248352,0.19587628543376923,0.8958762884140015,0.4061855673789978,0.9871779680252075,0.9466481804847717,0.9847731590270996,0.9728664755821228,0.05908331274986267,0.20768679678440094,0.057412270456552505,0.12902840971946716
10,military,2022-10-19,1,1000000,quad,100,20,big,Softmax,0.9494845360824742,0.9781847596168518,0.8438645601272583,0.9594107270240784,0.08969072252511978,0.7082474231719971,0.1855670064687729,0.9792509078979492,0.9188787341117859,0.9882115721702576,0.9621137380599976,0.09154929220676422,0.2964908182621002,0.04881833493709564,0.19646693766117096
10,military,2022-10-19,2,1000001,quad,100,20,big,Softmax,0.9494845360824742,0.9566563963890076,0.783132791519165,0.9324028491973877,0.20000000298023224,0.8154639005661011,0.38041236996650696,0.9926137924194336,0.9724389314651489,0.9949595332145691,0.9866708517074585,0.0315111018717289,0.13284793496131897,0.013726426288485527,0.06266412138938904
10,military,2022-10-19,3,1000002,quad,100,20,big,Softmax,0.9525773195876288,0.9675666689872742,0.7928557395935059,0.9431471228599548,0.15257732570171356,0.8278350234031677,0.2969072163105011,0.9924957752227783,0.9706493616104126,0.9951564073562622,0.9861005544662476,0.03270470350980759,0.1361900269985199,0.015397469513118267,0.0624254010617733
100,military,2022-10-20,1,1000000,quad,100,20,big,Softmax,0.9505154639175257,0.9649357199668884,0.8245301246643066,0.9453110694885254,0.15051546692848206,0.8010309338569641,0.2587628960609436,0.9928781986236572,0.9670436382293701,0.9943374991416931,0.9847531914710999,0.03270470350980759,0.1437097191810608,0.021842921152710915,0.07471950352191925
100,military,2022-10-20,2,1000001,quad,100,20,big,Softmax,0.9536082474226805,0.9321571588516235,0.7365618348121643,0.9048186540603638,0.3463917672634125,0.8546391725540161,0.5670102834701538,0.9898657202720642,0.9638299345970154,0.9929904937744141,0.9822287559509277,0.04332776367664337,0.15648126602172852,0.02351396530866623,0.08176175504922867
100,military,2022-10-20,3,1000002,quad,100,20,big,Softmax,0.9515463917525773,0.9798884987831116,0.8798198103904724,0.965901792049408,0.07731958478689194,0.561855673789978,0.14432989060878754,0.9898617267608643,0.9580569267272949,0.9908674955368042,0.9795953631401062,0.04714728891849518,0.1910957247018814,0.029362617060542107,0.10038195550441742
