split,date,experiment,seed,loss,n_epochs,batch_size,im_size,detector,ID_accuracy,l1_AUROC,l2_AUROC,l3_AUROC,all_AUROC,l1_FPR95TPR,l2_FPR95TPR,l3_FPR95TPR,all_FPR95TPR,dogs_AUROC,places_AUROC,cars_AUROC,cfg_AUROC,dogs_FPR95TPR,places_FPR95TPR,cars_FPR95TPR,cfg_FPR95TPR


split2,2022-09-08,1,1000000,cutmix,100,20,big,Softmax,0.9268567141785446,0.9605964422225952,0.8772371411323547,0.7749441862106323,0.8942902088165283,0.10352588444948196,0.4778694808483124,0.6942985653877258,0.4733683466911316,0.9999687075614929,0.9996860027313232,0.9823994636535645,0.9940181374549866,0.0,0.0,0.10949999839067459,0.012500000186264515
split2,2022-09-08,2,1000001,cutmix,100,20,big,Softmax,0.9283570892723181,0.9654120206832886,0.8695937991142273,0.7483453750610352,0.8884623050689697,0.09977494180202484,0.5487622022628784,0.7989497184753418,0.5873968601226807,0.9999243021011353,0.9996157288551331,0.9890819191932678,0.9962074160575867,0.0,0.0,0.05050000175833702,0.001500000013038516
split2,2022-09-08,3,1000002,cutmix,100,20,big,Softmax,0.9283570892723181,0.9615387320518494,0.8676744103431702,0.7776795029640198,0.8919143676757812,0.11215303838253021,0.505626380443573,0.569767415523529,0.4594898819923401,0.9999994039535522,0.9996362924575806,0.9690456986427307,0.989560604095459,0.0,0.0,0.2290000021457672,0.02500000037252903
split2,2022-09-08,4,1000003,cutmix,100,20,big,Softmax,0.9268567141785446,0.964729905128479,0.8946194648742676,0.7822463512420654,0.9036945700645447,0.10690172761678696,0.3855963945388794,0.6875469088554382,0.4249812364578247,0.9991428256034851,0.9963757991790771,0.9737933874130249,0.9897706508636475,0.0,0.0,0.1889999955892563,0.03700000047683716
split2,2022-09-08,5,1000004,cutmix,100,20,big,Softmax,0.9317329332333083,0.9601374864578247,0.8909693956375122,0.7628178596496582,0.8964646458625793,0.11515378952026367,0.408852219581604,0.6762940883636475,0.4677419364452362,0.9999943375587463,0.9994928240776062,0.9484280347824097,0.9826383590698242,0.0,0.0,0.39100000262260437,0.0729999989271164

split3,2022-09-10,1,1000000,cutmix,100,20,big,Softmax,0.9261254328587919,0.9384907484054565,0.9198552370071411,0.8179552555084229,0.8988409042358398,0.14736437797546387,0.2854944169521332,0.47979992628097534,0.365140438079834,0.9999375939369202,0.9996717572212219,0.9815923571586609,0.9937339425086975,0.0,0.0,0.11454545706510544,0.007272727321833372
split3,2022-09-10,2,1000001,cutmix,100,20,big,Softmax,0.9280492497114274,0.9444526433944702,0.9226575493812561,0.8275551199913025,0.9046459794044495,0.14544054865837097,0.23355136811733246,0.4332435429096222,0.3316660225391388,0.999967098236084,0.9995490312576294,0.9835836291313171,0.9943665862083435,0.0,0.0,0.10000000149011612,0.006818181835114956
split3,2022-09-10,3,1000002,cutmix,100,20,big,Softmax,0.9261254328587919,0.9351497888565063,0.9015935659408569,0.7951583862304688,0.8847681283950806,0.15967680513858795,0.37052711844444275,0.6467872262001038,0.4490188658237457,0.9999913573265076,0.9995986223220825,0.9695806503295898,0.9897235631942749,0.0,0.0,0.22181817889213562,0.03227272629737854
