
energy_margin,split,date,experiment,seed,loss,n_epochs,batch_size,im_size,detector,ID_accuracy,l1_AUROC,l2_AUROC,l3_AUROC,all_AUROC,l1_FPR95TPR,l2_FPR95TPR,l3_FPR95TPR,all_FPR95TPR,dogs_AUROC,places_AUROC,cars_AUROC,cfg_AUROC,dogs_FPR95TPR,places_FPR95TPR,cars_FPR95TPR,cfg_FPR95TPR
1000,split1,2022-11-04,1,1000000,energy,100,20,big,NegativeEnergy,0.9073652239939256,0.6777552962303162,0.6892539858818054,0.8011101484298706,0.7115059494972229,0.8743355870246887,0.8724373579025269,0.5827638506889343,0.8526955246925354,0.9968159198760986,0.9952914118766785,0.9247883558273315,0.9722985625267029,0.005238095298409462,0.008095238357782364,0.4509523808956146,0.1542857140302658
1000,split1,2022-11-04,2,1000001,energy,100,20,big,NegativeEnergy,0.9062262718299164,0.6770595908164978,0.7772036790847778,0.8089240789413452,0.7466059923171997,0.8219438195228577,0.7057706713676453,0.6230068206787109,0.7520880699157715,0.998291015625,0.9963554739952087,0.9155131578445435,0.9700531959533691,0.0023809524718672037,0.004761904943734407,0.4704761803150177,0.18904761970043182
1000,split1,2022-11-04,3,1000002,energy,100,20,big,NegativeEnergy,0.9066059225512528,0.7009702324867249,0.7415452003479004,0.6458302736282349,0.703298807144165,0.8519362211227417,0.7296887040138245,0.8325740098953247,0.8120728731155396,0.9986850619316101,0.9985244274139404,0.958114504814148,0.9851080775260925,0.0033333334140479565,0.0033333334140479565,0.2442857176065445,0.06666667014360428
100,split1,2022-11-05,1,1000000,energy,100,20,big,NegativeEnergy,0.907744874715262,0.6946673393249512,0.7359078526496887,0.8008390665054321,0.7356569766998291,0.828777551651001,0.8075171113014221,0.6192103028297424,0.7892938256263733,0.9978519678115845,0.9955241084098816,0.9413372278213501,0.9782377481460571,0.004285714123398066,0.0071428571827709675,0.34238094091415405,0.10571428388357162
100,split1,2022-11-05,2,1000001,energy,100,20,big,NegativeEnergy,0.9054669703872438,0.6920021772384644,0.7108058333396912,0.8078906536102295,0.7267580032348633,0.8363705277442932,0.8177676796913147,0.626423716545105,0.805239200592041,0.9978938102722168,0.9961778521537781,0.9423837065696716,0.978818416595459,0.004285714123398066,0.007619047537446022,0.34761905670166016,0.1009523794054985
100,split1,2022-11-05,3,1000002,energy,100,20,big,NegativeEnergy,0.908883826879271,0.6625056862831116,0.7548862099647522,0.7785793542861938,0.7253347635269165,0.8849658370018005,0.7133637070655823,0.7494305372238159,0.8147304654121399,0.9984753131866455,0.9975380301475525,0.9450250864028931,0.9803460836410522,0.0028571428265422583,0.004285714123398066,0.3209523856639862,0.08809524029493332
50,split1,2022-11-05,1,1000000,energy,100,20,big,NegativeEnergy,0.9096431283219438,0.8167214393615723,0.6790983080863953,0.6967896819114685,0.7357384562492371,0.6211085915565491,0.9373576045036316,0.881169319152832,0.8568716645240784,0.998031735420227,0.9949197173118591,0.9478502869606018,0.9802672863006592,0.0033333334140479565,0.008095238357782364,0.2804761826992035,0.09380952268838882
50,split1,2022-11-05,2,1000001,energy,100,20,big,NegativeEnergy,0.9100227790432802,0.8391837477684021,0.6234633326530457,0.7549377679824829,0.7369459867477417,0.5364464521408081,0.9707669019699097,0.7896735072135925,0.9024297595024109,0.997473955154419,0.9938355088233948,0.9425410032272339,0.9779501557350159,0.0033333334140479565,0.008095238357782364,0.3095238208770752,0.11999999731779099
50,split1,2022-11-05,3,1000002,energy,100,20,big,NegativeEnergy,0.9062262718299164,0.8354712128639221,0.7616344094276428,0.5731176137924194,0.744877815246582,0.6393318176269531,0.7391799688339233,0.9491267800331116,0.8238420486450195,0.9980413913726807,0.9972133636474609,0.9390017986297607,0.9780855178833008,0.004285714123398066,0.004285714123398066,0.3090476095676422,0.12666666507720947
25,split1,2022-11-05,1,1000000,energy,100,20,big,NegativeEnergy,0.9111617312072893,0.9009775519371033,0.769351065158844,0.7312871217727661,0.8104316592216492,0.41571754217147827,0.8466210961341858,0.821184515953064,0.7498101592063904,0.833580493927002,0.7661036252975464,0.3839326798915863,0.661205530166626,0.3876190483570099,0.5600000023841858,0.9528571367263794,0.8714285492897034
